Step 122420, Total Loss 1.282, Time Elapsed 20.047 s
Step 122430, Total Loss 2.176, Time Elapsed 20.927 s
Step 122440, Total Loss 0.856, Time Elapsed 20.039 s
Step 122450, Total Loss 1.459, Time Elapsed 20.280 s
Step 122460, Total Loss 1.200, Time Elapsed 21.823 s
Step 122470, Total Loss 0.354, Time Elapsed 21.186 s
Step 122480, Total Loss 0.582, Time Elapsed 19.715 s
Step 122490, Total Loss 5.423, Time Elapsed 19.588 s
Step 122500, Total Loss 1.312, Time Elapsed 20.161 s
Step 122510, Total Loss 1.721, Time Elapsed 20.802 s
Step 122520, Total Loss 4.379, Time Elapsed 20.939 s
Step 122530, Total Loss 0.578, Time Elapsed 21.035 s
Step 122540, Total Loss 1.101, Time Elapsed 19.004 s
Step 122550, Total Loss 2.777, Time Elapsed 21.972 s
Step 122560, Total Loss 1.900, Time Elapsed 21.919 s
Step 122570, Total Loss 1.042, Time Elapsed 22.261 s
Step 122580, Total Loss 1.162, Time Elapsed 21.025 s
Step 122590, Total Loss 2.427, Time Elapsed 20.582 s
Step 122600, Total Loss 1.116, Time Elapsed 19.995 s
Step 122610, Total Loss 1.353, Time Elapsed 19.831 s
Step 122620, Total Loss 3.189, Time Elapsed 18.487 s
Step 122630, Total Loss 1.054, Time Elapsed 20.667 s
Step 122640, Total Loss 1.148, Time Elapsed 21.133 s
Step 122650, Total Loss 0.854, Time Elapsed 20.868 s
Step 122660, Total Loss 0.644, Time Elapsed 20.923 s
Step 122670, Total Loss 0.493, Time Elapsed 20.795 s
Step 122680, Total Loss 2.362, Time Elapsed 20.605 s
Step 122690, Total Loss 1.518, Time Elapsed 19.557 s
Step 122700, Total Loss 1.304, Time Elapsed 21.328 s
Step 122710, Total Loss 0.721, Time Elapsed 19.099 s
Step 122720, Total Loss 0.732, Time Elapsed 21.015 s
Step 122730, Total Loss 3.736, Time Elapsed 21.395 s
Step 122740, Total Loss 1.550, Time Elapsed 20.608 s
Step 122750, Total Loss 1.538, Time Elapsed 20.499 s
Step 122760, Total Loss 0.977, Time Elapsed 20.817 s
Step 122770, Total Loss 0.338, Time Elapsed 21.051 s
Step 122780, Total Loss 1.582, Time Elapsed 21.537 s
Step 122790, Total Loss 0.863, Time Elapsed 21.410 s
Step 122800, Total Loss 1.092, Time Elapsed 20.883 s
Step 122810, Total Loss 0.653, Time Elapsed 20.915 s
Step 122820, Total Loss 0.838, Time Elapsed 21.878 s
Step 122830, Total Loss 1.547, Time Elapsed 20.420 s
Step 122840, Total Loss 3.010, Time Elapsed 20.363 s
Step 122850, Total Loss 2.296, Time Elapsed 21.812 s
Step 122860, Total Loss 1.710, Time Elapsed 20.703 s
Step 122870, Total Loss 2.282, Time Elapsed 21.698 s
Step 122880, Total Loss 0.836, Time Elapsed 19.335 s
Step 122890, Total Loss 0.395, Time Elapsed 20.409 s
Step 122900, Total Loss 1.519, Time Elapsed 20.343 s
Step 122910, Total Loss 0.837, Time Elapsed 20.001 s
Step 122920, Total Loss 0.410, Time Elapsed 20.553 s
Step 122930, Total Loss 0.362, Time Elapsed 20.836 s
Step 122940, Total Loss 0.658, Time Elapsed 20.945 s
Step 122950, Total Loss 0.911, Time Elapsed 20.501 s
Step 122960, Total Loss 1.268, Time Elapsed 19.574 s
Step 122970, Total Loss 1.802, Time Elapsed 21.607 s
Step 122980, Total Loss 1.072, Time Elapsed 20.516 s
Step 122990, Total Loss 1.617, Time Elapsed 20.585 s
Step 123000 / 150000, Checkpoint saved to ../teams/DSC180A_FA21_A00/a15/avod_data/kitti_avod/object/outputs/trainsin_pyramid_cars_with_aug_simple_rand_5/checkpoints/trainsin_pyramid_cars_with_aug_simple_rand_5-00123000
Step 123000, Total Loss 0.406, Time Elapsed 22.615 s
Step 123010, Total Loss 0.669, Time Elapsed 20.096 s
Step 123020, Total Loss 0.636, Time Elapsed 19.283 s
Step 123030, Total Loss 1.578, Time Elapsed 21.996 s
Step 123040, Total Loss 1.562, Time Elapsed 20.302 s
Step 123050, Total Loss 1.337, Time Elapsed 20.076 s
Step 123060, Total Loss 1.581, Time Elapsed 18.970 s
Step 123070, Total Loss 4.870, Time Elapsed 19.167 s
Step 123080, Total Loss 0.484, Time Elapsed 20.107 s
Step 123090, Total Loss 0.283, Time Elapsed 21.637 s
Step 123100, Total Loss 0.822, Time Elapsed 22.227 s
Step 123110, Total Loss 0.832, Time Elapsed 20.251 s
Step 123120, Total Loss 2.179, Time Elapsed 20.392 s
Step 123130, Total Loss 0.801, Time Elapsed 19.385 s
Step 123140, Total Loss 4.216, Time Elapsed 20.101 s
Step 123150, Total Loss 0.876, Time Elapsed 21.415 s
Step 123160, Total Loss 2.220, Time Elapsed 21.996 s
Step 123170, Total Loss 0.523, Time Elapsed 21.194 s
Step 123180, Total Loss 1.362, Time Elapsed 21.208 s
Step 123190, Total Loss 1.422, Time Elapsed 18.704 s
Step 123200, Total Loss 0.616, Time Elapsed 20.290 s
Step 123210, Total Loss 0.668, Time Elapsed 21.513 s
Step 123220, Total Loss 14.460, Time Elapsed 21.101 s
Step 123230, Total Loss 1.078, Time Elapsed 21.381 s
Step 123240, Total Loss 0.278, Time Elapsed 19.214 s
Step 123250, Total Loss 1.220, Time Elapsed 19.389 s
Step 123260, Total Loss 1.006, Time Elapsed 20.680 s
Step 123270, Total Loss 0.420, Time Elapsed 20.003 s
Step 123280, Total Loss 7.451, Time Elapsed 20.880 s
Step 123290, Total Loss 2.244, Time Elapsed 19.739 s
Step 123300, Total Loss 0.583, Time Elapsed 21.176 s
Step 123310, Total Loss 0.737, Time Elapsed 21.789 s
Step 123320, Total Loss 4.719, Time Elapsed 20.519 s
Step 123330, Total Loss 0.494, Time Elapsed 21.444 s
Step 123340, Total Loss 0.680, Time Elapsed 18.388 s
Step 123350, Total Loss 0.805, Time Elapsed 20.186 s
Step 123360, Total Loss 2.786, Time Elapsed 20.400 s
Step 123370, Total Loss 0.355, Time Elapsed 22.201 s
Step 123380, Total Loss 0.638, Time Elapsed 21.195 s
Step 123390, Total Loss 1.724, Time Elapsed 21.328 s
Step 123400, Total Loss 1.066, Time Elapsed 21.575 s
Step 123410, Total Loss 0.499, Time Elapsed 20.785 s
Step 123420, Total Loss 1.555, Time Elapsed 19.701 s
Step 123430, Total Loss 1.227, Time Elapsed 20.622 s
Step 123440, Total Loss 0.694, Time Elapsed 20.901 s
Step 123450, Total Loss 1.230, Time Elapsed 21.162 s
Step 123460, Total Loss 0.781, Time Elapsed 19.097 s
Step 123470, Total Loss 4.230, Time Elapsed 20.628 s
Step 123480, Total Loss 0.341, Time Elapsed 19.925 s
Step 123490, Total Loss 2.027, Time Elapsed 20.580 s
Step 123500, Total Loss 0.725, Time Elapsed 21.970 s
Step 123510, Total Loss 1.626, Time Elapsed 19.633 s
Step 123520, Total Loss 0.566, Time Elapsed 21.396 s
Step 123530, Total Loss 1.316, Time Elapsed 20.524 s
Step 123540, Total Loss 1.742, Time Elapsed 21.076 s
Step 123550, Total Loss 2.115, Time Elapsed 20.013 s
Step 123560, Total Loss 1.196, Time Elapsed 20.303 s
Step 123570, Total Loss 1.223, Time Elapsed 18.908 s
Step 123580, Total Loss 0.412, Time Elapsed 21.514 s
Step 123590, Total Loss 0.953, Time Elapsed 19.762 s
Step 123600, Total Loss 1.577, Time Elapsed 19.417 s
Step 123610, Total Loss 0.619, Time Elapsed 20.246 s
